aX,aY,aZ,gX,gY,gZ
-10.980,-10.965,16.295,2.942,-1.550,1.937
-9.787,-10.539,15.179,3.053,-1.558,2.001
-8.777,-10.104,14.068,3.164,-1.518,2.028
-8.006,-9.668,12.842,3.268,-1.456,2.017
-7.494,-9.242,11.502,3.358,-1.387,1.973
-7.240,-8.902,10.060,3.425,-1.325,1.914
-7.163,-8.586,8.681,3.472,-1.283,1.844
-7.211,-8.183,7.077,3.510,-1.263,1.783
-7.135,-7.700,5.732,3.524,-1.261,1.759
-6.924,-7.125,4.458,3.514,-1.258,1.770
-6.527,-6.479,3.285,3.476,-1.261,1.815
-5.875,-5.804,2.289,3.411,-1.275,1.879
-4.970,-5.200,1.470,3.329,-1.296,1.939
-3.797,-4.606,0.852,3.238,-1.306,1.968
-2.600,-4.099,0.350,3.154,-1.303,1.952
-1.408,-3.596,-0.124,3.079,-1.298,1.889
-0.421,-3.165,-0.579,3.002,-1.275,1.786
0.326,-2.792,-1.020,2.915,-1.256,1.657
0.886,-2.385,-1.379,2.816,-1.269,1.504
1.441,-2.030,-1.662,2.705,-1.290,1.337
1.982,-1.614,-1.810,2.581,-1.267,1.162
2.370,-1.211,-1.944,2.442,-1.196,0.973
2.533,-0.929,-2.006,2.292,-1.087,0.784
2.452,-0.670,-2.107,2.127,-0.947,0.617
2.222,-0.388,-2.260,1.941,-0.787,0.487
1.973,-0.192,-2.428,1.735,-0.623,0.400
1.719,-0.096,-2.351,1.521,-0.459,0.355
1.551,-0.187,-1.997,1.319,-0.304,0.351
1.523,-0.369,-1.561,1.157,-0.154,0.361
1.547,-0.445,-1.192,1.032,-0.015,0.361
1.523,-0.460,-1.053,0.924,0.111,0.335
1.346,-0.431,-1.006,0.824,0.204,0.284
1.001,-0.378,-0.958,0.721,0.264,0.223
0.536,-0.369,-0.838,0.619,0.290,0.174
0.072,-0.340,-0.570,0.529,0.263,0.152
-0.278,-0.292,-0.091,0.471,0.198,0.169
-0.421,-0.201,0.383,0.447,0.122,0.212
-0.302,-0.048,0.819,0.450,0.054,0.264
0.043,0.278,1.106,0.456,0.007,0.296
0.393,0.599,1.274,0.448,-0.022,0.291
0.637,0.800,1.571,0.420,-0.043,0.255
0.804,0.924,1.997,0.388,-0.060,0.195
0.867,1.063,2.418,0.355,-0.071,0.122
0.771,1.221,2.796,0.311,-0.073,0.053
0.565,1.355,3.189,0.258,-0.069,-0.004
