aX,aY,aZ,gX,gY,gZ
14.873,-11.439,15.663,1.198,0.738,-4.366
14.183,-12.038,15.165,1.295,0.834,-4.366
12.819,-12.881,14.528,1.406,0.911,-4.366
11.253,-13.585,13.934,1.504,0.953,-4.366
9.548,-14.150,13.360,1.624,0.951,-4.366
7.671,-14.657,12.742,1.755,0.962,-4.366
5.473,-15.055,12.019,1.903,0.903,-4.366
3.136,-15.237,11.181,2.066,0.817,-4.366
0.441,-15.313,10.046,2.221,0.733,-4.366
-3.132,-15.170,8.404,2.367,0.611,-4.366
-6.483,-14.801,6.900,2.429,0.466,-4.366
-10.013,-14.269,5.430,2.398,0.277,-4.366
-13.345,-13.728,4.209,2.266,0.037,-4.366
-16.084,-13.063,3.361,2.048,-0.208,-4.366
-18.014,-12.321,2.945,1.771,-0.435,-4.366
-18.852,-11.655,3.036,1.472,-0.602,-4.366
-18.699,-11.128,3.529,1.195,-0.623,-4.366
-18.387,-10.616,4.175,0.934,-0.403,-4.366
-18.675,-10.214,4.597,0.761,-0.151,-4.366
-19.288,-9.883,4.990,0.620,0.098,-4.366
-20.164,-9.606,5.239,0.506,0.316,-4.366
-20.858,-9.270,5.598,0.414,0.422,-4.097
-21.237,-8.930,6.153,0.348,0.459,-3.787
-21.342,-8.547,6.814,0.316,0.432,-3.487
-21.141,-8.126,7.470,0.315,0.367,-3.206
-20.739,-7.647,7.968,0.336,0.290,-2.951
-20.231,-7.063,8.308,0.372,0.201,-2.720
-19.527,-6.316,8.480,0.416,0.086,-2.465
-18.771,-5.693,8.514,0.449,-0.007,-2.260
-17.952,-5.124,8.504,0.474,-0.079,-2.069
-17.162,-4.573,8.423,0.494,-0.117,-1.885
-16.395,-4.013,8.217,0.500,-0.120,-1.704
-15.596,-3.462,8.016,0.486,-0.097,-1.528
-14.767,-2.978,7.843,0.453,-0.041,-1.359
-13.949,-2.538,7.724,0.406,0.032,-1.202
-13.139,-2.212,7.676,0.359,0.099,-1.063
-12.445,-1.968,7.690,0.330,0.150,-0.949
-11.914,-1.724,7.705,0.327,0.185,-0.850
-11.530,-1.470,7.633,0.343,0.209,-0.751
-11.200,-1.164,7.379,0.364,0.214,-0.649
-10.716,-0.781,7.034,0.374,0.182,-0.535
-10.228,-0.479,6.814,0.372,0.131,-0.450
-9.787,-0.244,6.651,0.357,0.079,-0.371
-9.361,-0.101,6.613,0.347,0.024,-0.284
-8.926,-0.057,6.622,0.346,-0.009,-0.184
-8.413,0.110,6.503,0.346,-0.024,-0.079
-7.858,0.335,6.263,0.319,-0.028,0.014
-7.312,0.498,6.076,0.256,-0.024,0.083
-6.881,0.589,6.110,0.172,-0.023,0.133
-6.464,0.551,6.354,0.092,-0.011,0.175
-6.129,0.484,6.651,0.025,0.026,0.209
-5.923,0.431,6.938,-0.030,0.067,0.237
-5.827,0.378,7.187,-0.073,0.103,0.266
-5.708,0.311,7.432,-0.108,0.126,0.296
-5.559,0.268,7.628,-0.136,0.139,0.327
-5.334,0.215,7.815,-0.161,0.137,0.354
-5.085,0.148,8.059,-0.179,0.121,0.369
-4.889,0.081,8.265,-0.192,0.098,0.371
-4.803,0.005,8.399,-0.207,0.074,0.367
-4.812,-0.105,8.576,-0.223,0.051,0.364
-4.827,-0.230,8.758,-0.237,0.032,0.367
-4.851,-0.340,8.930,-0.251,0.021,0.377
-4.855,-0.450,9.079,-0.266,0.021,0.401
-4.836,-0.527,9.232,-0.282,0.033,0.436
-4.712,-0.579,9.395,-0.300,0.058,0.478
-4.525,-0.661,9.591,-0.316,0.093,0.521
-4.257,-0.699,9.749,-0.328,0.138,0.560
-3.970,-0.757,9.902,-0.331,0.191,0.588
-3.725,-0.838,10.060,-0.328,0.245,0.602
-3.601,-0.924,10.195,-0.314,0.293,0.605
-3.615,-0.996,10.319,-0.288,0.320,0.604
-3.740,-1.049,10.353,-0.259,0.324,0.603
-3.898,-1.101,10.324,-0.229,0.311,0.603
-4.075,-1.125,10.175,-0.207,0.280,0.605
-4.204,-1.130,10.118,-0.190,0.234,0.613
-4.214,-1.130,10.080,-0.175,0.178,0.624
-4.137,-1.140,10.046,-0.163,0.130,0.639
-3.979,-1.106,10.017,-0.149,0.098,0.653
-3.754,-1.053,10.017,-0.137,0.082,0.660
-3.524,-0.977,9.974,-0.132,0.079,0.656
-3.347,-0.919,9.898,-0.137,0.086,0.644
-3.294,-0.881,9.773,-0.149,0.103,0.632
-3.352,-0.852,9.697,-0.172,0.121,0.629
-3.486,-0.891,9.687,-0.199,0.131,0.642
-3.634,-0.939,9.740,-0.230,0.131,0.685
-3.587,-0.958,9.807,-0.254,0.130,0.737
-3.357,-0.929,9.835,-0.278,0.130,0.784
-3.021,-0.919,9.922,-0.299,0.134,0.808
-2.725,-0.915,9.993,-0.318,0.143,0.802
-2.581,-0.929,10.118,-0.330,0.157,0.778
-2.514,-0.929,10.190,-0.338,0.172,0.746
-2.514,-0.934,10.185,-0.349,0.186,0.704
